"id","nombre","abreviatura"
"1","ALTA VERAPAZ","AVE"
"2","BAJA VERAPAZ","BVE"
"3","CHIMALTENANGO","CHM"
"4","CHIQUIMULA","CHQ"
"5","EL PROGRESO","PRO"
"6","ESCUINTLA","ESC"
"7","GUATEMALA","GUA"
"8","HUEHUETENANGO","HUE"
"9","IZABAL","IZA"
"10","JALAPA","JAL"
"11","JUTIAPA","JUT"
"12","PETEN","PET"
"13","QUETZALTENANGO","QUE"
"14","QUICHE","QUI"
"15","RETALHULEU","RET"
"16","SACATEPEQUEZ","SAC"
"17","SAN MARCOS","SMA"
"18","SANTA ROSA","SRO"
"19","SOLOLA","SOL"
"20","SUCHITEPEQUEZ","SUC"
"21","TOTONICAPAN","TOT"
"22","ZACAPA","ZAC"
