"id","nombre","departamento_id"
"1","CAHABON                  ",1
"2","CHAHAL                    ",1
"3","CHISEC                    ",1
"4","COBAN                     ",1
"5","FRAY BARTOLOME DE LAS     ",1
"6","LANQUIN                   ",1
"7","PANZOS                    ",1
"8","SAN CRISTOBAL VERAPAZ     ",1
"9","SAN JUAN CHAMELCO         ",1
"10","SAN PEDRO CARCHA          ",1
"11","SANTA CATALINA LA TIN     ",1
"12","SANTA CRUZ VERAPAZ        ",1
"13","SENAHU                    ",1
"14","TACTIC                    ",1
"15","TAMAHU                    ",1
"16","TUCURU                    ",1
"17","CUBULCO                   ",2
"18","EL CHOL                   ",2
"19","GRANADOS                  ",2
"20","PURULHA                   ",2
"21","RABINAL                   ",2
"22","SALAMA                    ",2
"23","SAN JERONIMO              ",2
"24","SAN MIGUEL CHICAJ         ",2
"25","ACATENANGO                ",3
"26","CHIMALTENANGO             ",3
"27","COMALAPA                  ",3
"28","EL TEJAR                  ",3
"29","PARRAMOS                  ",3
"30","PATZICIA                  ",3
"31","PATZUN                    ",3
"32","POCHUTA                   ",3
"33","SAN ANDRES ITZAPA         ",3
"34","SAN JOSE POAQUIL          ",3
"35","SAN MARTIN JILOTEPEQU     ",3
"36","SANTA APOLONIA            ",3
"37","SANTA CRUZ BALANYA        ",3
"38","TECPAN GUATEMALA          ",3
"39","YEPOCAPA                  ",3
"40","ZARAGOZA                  ",3
"41","CAMOTAN                   ",4
"42","CHIQUIMULA                ",4
"43","CONCEPCION  LAS MINAS     ",4
"44","ESQUIPULAS                ",4
"45","IPALA                     ",4
"46","JOCOTAN                   ",4
"47","OLOPA                     ",4
"48","QUEZALTEPEQUE             ",4
"49","SAN JACINTO               ",4
"50","SAN JOSE LA ARADA         ",4
"51","SAN JUAN  ERMITA          ",4
"52","EL JICARO                 ",5
"53","GUASTATOYA                ",5
"54","MORAZAN                   ",5
"55","SAN AGUSTIN ACASAGUAS     ",5
"56","SAN ANTONIO LA PAZ        ",5
"57","SAN CRISTOBAL ACASAGU     ",5
"58","SANARATE                  ",5
"59","SANSARE                   ",5
"60","ESCUINTLA                 ",6
"61","GUANAGAZAPA               ",6
"62","IZTAPA                    ",6
"63","LA DEMOCRACIA             ",6
